year,constructor,wins,podiums,totalPoints,finishes,dnfs,raceCount,finishRate,winRate,avgPointsPerRace
2024,mclaren,6,21,609.0,48,0,48,100.0,12.5,12.69
2024,ferrari,5,22,595.0,48,0,48,100.0,10.42,12.4
2024,red_bull,9,18,537.0,46,0,48,95.83,18.75,11.19
2024,mercedes,4,9,433.0,48,0,48,100.0,8.33,9.02
2024,aston_martin,0,0,94.0,47,0,48,97.92,0.0,1.96
2024,alpine,0,2,63.0,45,0,48,93.75,0.0,1.31
2024,haas,0,0,51.0,45,0,48,93.75,0.0,1.06
2024,rb,0,0,40.0,46,0,48,95.83,0.0,0.83
2024,williams,0,0,17.0,43,0,47,91.49,0.0,0.36
2024,sauber,0,0,4.0,48,0,48,100.0,0.0,0.08
2023,red_bull,21,30,790.0,44,0,44,100.0,47.73,17.95
2023,mercedes,0,8,374.0,43,0,44,97.73,0.0,8.5
2023,ferrari,1,9,363.0,41,0,44,93.18,2.27,8.25
2023,aston_martin,0,8,266.0,43,0,44,97.73,0.0,6.05
2023,mclaren,0,9,266.0,43,0,44,97.73,0.0,6.05
2023,alpine,0,2,110.0,44,0,44,100.0,0.0,2.5
2023,williams,0,0,26.0,43,0,44,97.73,0.0,0.59
2023,alphatauri,0,0,22.0,42,0,44,95.45,0.0,0.5
2023,alfa,0,0,16.0,44,0,44,100.0,0.0,0.36
2023,haas,0,0,9.0,43,0,44,97.73,0.0,0.2
2022,red_bull,17,28,724.0,44,0,44,100.0,38.64,16.45
2022,ferrari,4,20,519.0,42,0,44,95.45,9.09,11.8
2022,mercedes,1,17,495.0,42,0,44,95.45,2.27,11.25
2022,alpine,0,0,170.0,44,0,44,100.0,0.0,3.86
2022,mclaren,0,1,150.0,43,0,44,97.73,0.0,3.41
2022,aston_martin,0,0,55.0,44,0,44,100.0,0.0,1.25
2022,alfa,0,0,53.0,43,0,44,97.73,0.0,1.2
2022,alphatauri,0,0,35.0,43,0,44,97.73,0.0,0.8
2022,haas,0,0,33.0,42,0,44,95.45,0.0,0.75
2022,williams,0,0,8.0,42,0,44,95.45,0.0,0.18
2021,mercedes,9,28,604.5,43,0,44,97.73,20.45,13.74
2021,red_bull,11,23,578.5,42,0,44,95.45,25.0,13.15
2021,ferrari,0,5,322.5,42,0,44,95.45,0.0,7.33
2021,mclaren,1,5,274.0,44,0,44,100.0,2.27,6.23
2021,alpine,1,2,155.0,43,0,44,97.73,2.27,3.52
2021,alphatauri,0,1,142.0,42,0,44,95.45,0.0,3.23
2021,aston_martin,0,1,77.0,43,0,44,97.73,0.0,1.75
2021,williams,0,1,23.0,43,0,44,97.73,0.0,0.52
2021,alfa,0,0,13.0,44,0,44,100.0,0.0,0.3
2021,haas,0,0,0.0,41,0,44,93.18,0.0,0.0
2020,mercedes,13,25,573.0,34,0,34,100.0,38.24,16.85
2020,red_bull,2,13,319.0,32,0,34,94.12,5.88,9.38
2020,racing_point,1,4,210.0,32,0,34,94.12,2.94,6.18
2020,mclaren,0,2,202.0,32,0,34,94.12,0.0,5.94
2020,renault,0,3,181.0,34,0,34,100.0,0.0,5.32
2020,ferrari,0,3,131.0,33,0,34,97.06,0.0,3.85
2020,alphatauri,1,1,107.0,33,0,34,97.06,2.94,3.15
2020,alfa,0,0,8.0,34,0,34,100.0,0.0,0.24
2020,haas,0,0,3.0,33,0,34,97.06,0.0,0.09
2020,williams,0,0,0.0,34,0,34,100.0,0.0,0.0
2019,mercedes,15,32,739.0,42,0,42,100.0,35.71,17.6
2019,ferrari,3,19,504.0,42,0,42,100.0,7.14,12.0
2019,red_bull,3,9,417.0,41,0,42,97.62,7.14,9.93
2019,mclaren,0,1,145.0,42,0,42,100.0,0.0,3.45
2019,renault,0,0,91.0,42,0,42,100.0,0.0,2.17
2019,toro_rosso,0,2,85.0,42,0,42,100.0,0.0,2.02
2019,racing_point,0,0,73.0,42,0,42,100.0,0.0,1.74
2019,alfa,0,0,57.0,42,0,42,100.0,0.0,1.36
2019,haas,0,0,28.0,41,0,42,97.62,0.0,0.67
2019,williams,0,0,1.0,42,0,42,100.0,0.0,0.02
2018,mercedes,11,25,655.0,42,0,42,100.0,26.19,15.6
2018,ferrari,6,24,571.0,42,0,42,100.0,14.29,13.6
2018,red_bull,4,13,419.0,42,0,42,100.0,9.52,9.98
2018,renault,0,0,122.0,39,0,42,92.86,0.0,2.9
