year,driver,wins,podiums,totalPoints,finishes,dnfs,avgLapTime,totalOvertakes,raceCount,finishRate,podiumRate,avgPointsPerRace
2024,max_verstappen,9,14,399.0,24,0,95365.70020108385,30,24,100.0,58.33,16.62
2024,norris,4,13,344.0,24,0,95309.8573189148,20,24,100.0,54.17,14.33
2024,leclerc,3,13,327.0,24,0,95675.01103656499,44,24,100.0,54.17,13.62
2024,piastri,2,8,265.0,24,0,95516.60672029894,29,24,100.0,33.33,11.04
2024,sainz,2,9,262.0,23,0,96153.98045252895,21,23,100.0,39.13,11.39
2024,russell,2,4,226.0,24,0,95563.89725322723,33,24,100.0,16.67,9.42
2024,hamilton,2,5,207.0,24,0,95911.18939248526,57,24,100.0,20.83,8.62
2024,perez,0,4,138.0,22,0,95555.06308946092,33,24,91.67,16.67,5.75
2024,alonso,0,0,70.0,24,0,96962.61880888294,21,24,100.0,0.0,2.92
2024,gasly,0,1,40.0,23,0,97718.9328253797,41,24,95.83,4.17,1.67
2024,hulkenberg,0,0,36.0,22,0,95289.19889030972,33,24,91.67,0.0,1.5
2024,tsunoda,0,0,29.0,23,0,97492.94829447246,13,24,95.83,0.0,1.21
2024,stroll,0,0,24.0,23,0,96977.66969811497,33,24,95.83,0.0,1.0
2024,ocon,0,1,23.0,21,0,96377.62119663584,27,23,91.3,4.35,1.0
2024,kevin_magnussen,0,0,14.0,21,0,94564.93321629176,38,22,95.45,0.0,0.64
2024,albon,0,0,12.0,21,0,95188.88774975638,20,24,87.5,0.0,0.5
2024,bearman,0,0,7.0,3,0,106699.70756464906,7,3,100.0,0.0,2.33
2024,ricciardo,0,0,7.0,17,0,94403.73177071114,24,18,94.44,0.0,0.39
2024,colapinto,0,0,5.0,8,0,96499.02032404872,17,9,88.89,0.0,0.56
2024,lawson,0,0,4.0,6,0,98560.87366969796,13,6,100.0,0.0,0.67
2024,zhou,0,0,4.0,24,0,102860.33346119548,54,24,100.0,0.0,0.17
2024,bottas,0,0,0.0,24,0,96953.55475719919,17,24,100.0,0.0,0.0
2024,doohan,0,0,0.0,1,0,91576.24561403508,2,1,100.0,0.0,0.0
2024,sargeant,0,0,0.0,14,0,96909.89732592428,16,14,100.0,0.0,0.0
2023,max_verstappen,19,21,530.0,22,0,98832.76196294777,42,22,100.0,95.45,24.09
2023,perez,2,9,260.0,22,0,107855.48076099897,80,22,100.0,40.91,11.82
2023,hamilton,0,6,217.0,21,0,99643.66550039504,41,22,95.45,27.27,9.86
2023,alonso,0,8,198.0,22,0,99998.59405839407,21,22,100.0,36.36,9.0
2023,leclerc,0,6,185.0,20,0,94746.97942518779,19,22,90.91,27.27,8.41
2023,norris,0,7,184.0,22,0,100428.51584094534,38,22,100.0,31.82,8.36
2023,sainz,1,3,178.0,21,0,99871.74038598544,18,22,95.45,13.64,8.09
2023,russell,0,2,157.0,22,0,99857.71228112752,40,22,100.0,9.09,7.14
2023,piastri,0,2,82.0,21,0,99471.01949365395,31,22,95.45,9.09,3.73
2023,stroll,0,0,68.0,21,0,99841.1589251803,50,22,95.45,0.0,3.09
2023,ocon,0,1,56.0,22,0,99426.6324898827,39,22,100.0,4.55,2.55
2023,gasly,0,1,54.0,22,0,100227.3292171762,46,22,100.0,4.55,2.45
2023,albon,0,0,25.0,21,0,98032.42984532203,29,22,95.45,0.0,1.14
2023,tsunoda,0,0,14.0,20,0,100538.7976946721,47,22,90.91,0.0,0.64
2023,bottas,0,0,10.0,22,0,103047.39792086493,33,22,100.0,0.0,0.45
2023,hulkenberg,0,0,6.0,22,0,100784.26984285018,10,22,100.0,0.0,0.27
2023,ricciardo,0,0,6.0,7,0,101300.28800024992,11,7,100.0,0.0,0.86
2023,zhou,0,0,6.0,22,0,101069.51877381648,58,22,100.0,0.0,0.27
2023,kevin_magnussen,0,0,3.0,21,0,97066.2846257408,18,22,95.45,0.0,0.14
2023,lawson,0,0,2.0,5,0,102434.5465872205,8,5,100.0,0.0,0.4
2023,sargeant,0,0,1.0,22,0,98266.9113134868,48,22,100.0,0.0,0.05
2023,de_vries,0,0,0.0,10,0,95210.42905108926,10,10,100.0,0.0,0.0
2022,max_verstappen,15,17,433.0,22,0,100431.25615040754,40,22,100.0,77.27,19.68
2022,leclerc,3,11,291.0,22,0,100483.75410151613,36,22,100.0,50.0,13.23
2022,perez,2,11,291.0,22,0,100498.57342945636,31,22,100.0,50.0,13.23
2022,russell,1,8,262.0,21,0,98005.98968141139,40,22,95.45,36.36,11.91
2022,hamilton,0,9,233.0,21,0,99920.57962068378,45,22,95.45,40.91,10.59
2022,sainz,1,9,228.0,20,0,99991.07472002796,35,22,90.91,40.91,10.36
2022,norris,0,1,116.0,22,0,100881.4414662444,22,22,100.0,4.55,5.27
2022,ocon,0,0,89.0,22,0,102355.62442377987,59,22,100.0,0.0,4.05
2022,alonso,0,0,81.0,22,0,102814.2179598648,52,22,100.0,0.0,3.68
2022,bottas,0,0,47.0,22,0,105865.81238741888,32,22,100.0,0.0,2.14
2022,vettel,0,0,37.0,20,0,101124.91936474033,55,20,100.0,0.0,1.85
2022,ricciardo,0,0,34.0,21,0,102164.56087889809,33,22,95.45,0.0,1.55
2022,gasly,0,0,23.0,22,0,104102.80978353984,25,22,100.0,0.0,1.05
